model,period_name,nse,lognse,ape95,vpe,kge12,spearman_r,rmse,logrmse
model_A,cal,0.8842334747314453,0.8754520639777184,2.2667661450496666,-1.407224964350462,0.9337944855129894,0.936964541839558,0.17951329052448273,0.08381995558738707
model_A,cal,0.8812789171934128,0.8733141124248505,4.109857665744164,-2.338062785565853,0.9238284627763071,0.9382996983116444,0.1817896068096161,0.08453630656003952
model_A,cal,0.8305131942033768,0.8458090126514435,0.198975061629276,-3.473097085952759,0.8916497949755314,0.9338870860936545,0.2172066271305084,0.09326283633708954
model_A,val,0.8646676689386368,0.772206649184227,4.0101280757607745,-5.420434847474098,0.9112303827286792,0.8907187418887159,0.19760748744010925,0.12699156999588013
model_A,val,0.8580497354269028,0.7567053586244583,5.742054851800995,-6.4515121281147,0.899066449899264,0.8870083626745731,0.20238147675991056,0.1312413364648819
model_A,val,0.802123174071312,0.7726085484027863,0.07735292799995228,-5.141522362828255,0.8609067666021013,0.8844266759061705,0.23894618451595304,0.1268794983625412
model_B,cal,0.9258080944418908,0.9347190409898758,6.607425800993477,-0.07755469996482134,0.9425090559617774,0.9688152524208986,0.14370881021022794,0.06068374961614609
model_B,val,0.8462317585945129,0.9072183743119241,2.7736209081777203,3.436221182346344,0.9179623110527844,0.9559825738519996,0.21063761413097384,0.0810467079281807
model_C,cal,0.8479232490062714,0.8407790511846542,6.284084464981,4.3949898332357415,0.8095261151097064,0.9388002811481894,0.20574843883514404,0.09477182477712633
model_C,cal,0.8823712393641472,0.8759210184216499,4.410989758350362,8.913174271583557,0.7976130142196775,0.968388723057504,0.18095137178897855,0.0836620032787323
model_C,cal,0.8009880930185318,0.8089396953582764,8.512253878945913,8.004777878522871,0.7519912803271631,0.9558102324632922,0.23536650836467746,0.10381602495908736
model_C,cal,0.8407001197338104,0.8046123385429382,5.285537970396506,-0.6263851188123226,0.8872630076285057,0.933328268796439,0.21057793498039248,0.10498511046171187
model_C,val,0.8529373705387115,0.8170631676912308,6.263388630532515,6.984171271324158,0.7980844792240838,0.9425102246893864,0.2059936374425888,0.11380332708358765
model_C,val,0.8482192605733871,0.8422663360834122,1.5206785918808,13.067781925201414,0.7522859397300709,0.9686740477853709,0.20927192270755768,0.1056736186146736
model_C,val,0.7900913804769516,0.775673896074295,2.3096256386986465,13.419458270072935,0.7094793868874445,0.9631182528574592,0.2461034804582596,0.1260214000940323
model_C,val,0.853677973151207,0.7512218654155731,5.473736151668817,-2.319844625890255,0.8915634474965374,0.9274302947069498,0.20547428727149966,0.13271208107471466
model_D,cal,0.9192441627383232,0.9385671876370908,10.117802297815947,-4.330047965049744,0.8796035147322498,0.9771033500133234,0.14993122220039368,0.058868009597063065
model_D,cal,0.9134324714541436,0.9369855299592018,11.677316808046214,-4.716062545776367,0.8644936867267264,0.9763478681270352,0.1552324891090393,0.05962100625038148
model_D,val,0.8740234076976776,0.8322589546442032,11.305907643149144,-9.267212450504305,0.8597735886078064,0.9306299773713016,0.1906547248363495,0.10897429287433624
model_D,val,0.8687484413385391,0.8250893950462341,12.119322547303314,-9.920214116573334,0.8512337058860676,0.9284944964318316,0.19460538029670715,0.11127880960702896
